"State","City","County","Cases"
"Florida","Bellview","Escambia","6"
"Florida","Fruitland Park","Lake","6"
"Florida","Dunnellon","Citrus","6"
"Florida","Mcalpin","Suwannee","6"
"Florida","Dundee","Polk","6"
"Florida","Altha","Calhoun","5"
"Florida","Placida","Charlotte","5"
"Florida","Raiford","Union","5"
"Florida","Sumterville","Sumter","5"
"Florida","Lee","Madison","5"
"Florida","Oak Hill","Volusia","5"
"Florida","Ocklawaha","Marion","5"
"Florida","Carrollwood","Hillsborough","5"
"Florida","Florahome","Putnam","5"
"Florida","Madeira Beach","Pinellas","5"
"Florida","Canal Point","Palm Beach","4"
"Florida","Golden Beach","Dade","4"
"Florida","Graceville","Jackson","4"
"Florida","Sweetwater","Dade","4"
"Florida","Satsuma","Putnam","4"
"Florida","Montverde","Lake","4"
"Florida","Jay","Santa Rosa","4"
"Florida","Lake Helen","Volusia","4"
"Florida","Waverly","Polk","4"
"Florida","Coleman","Sumter","4"
"Florida","Youngstown","Bay","4"
"Florida","Laurel Hill","Okaloosa","4"
"Florida","Greenville","Madison","4"
"Florida","Glen Saint Mary","Baker","4"
"Florida","Tioga","Alachua","4"
"Florida","Melrose","Putnam","4"
"Florida","Venus","Highlands","4"
"Florida","Weeki Wachee","Hernando","4"
"Florida","Wewahitchka","Gulf","4"
"Florida","Eglin Air Force Base","Okaloosa","4"
"Florida","Wellborn","Suwannee","4"
"Florida","Micanopy","Alachua","4"
"Florida","Bay Harbor Islands","Dade","4"
"Florida","Sanderson","Baker","4"
"Florida","Melbourne Beach","Brevard","4"
"Florida","Odessa","Pasco","4"
"Florida","Ona","Hardee","4"
"Florida","Branford","Suwannee","4"
"Florida","Floral City","Citrus","4"
"Florida","Geneva","Seminole","4"
"Florida","Waldo","Alachua","4"
"Florida","Westville","Holmes","3"
"Florida","San Antonio","Pasco","3"
"Florida","Fort Denaud","Hendry","3"
"Florida","Century","Escambia","3"
"Florida","Archer","Alachua","3"
"Florida","Hollister","Putnam","3"
"Florida","Belleair","Pinellas","3"
"Florida","Callaway","Bay","3"
"Florida","Miramar Beach","Walton","3"
"Florida","Indialantic","Brevard","3"
"Florida","Poinciana","Osceola","3"
"Florida","Southport","Bay","3"
"Florida","Nocatee","Desoto","3"
"Florida","Port Saint Joe","Gulf","3"
"Florida","Bascom","Jackson","3"
"Florida","Summerland Key","Monroe","3"
"Florida","Bryceville","Nassau","3"
"Florida","Hosford","Liberty","3"
"Florida","Cape Canaveral","Brevard","3"
"Florida","Greensboro","Gadsden","3"
"Florida","San Mateo","Putnam","3"
"Florida","Lutz","Pasco","3"
"Florida","Singer Island","Palm Beach","3"
"Florida","Palmdale","Glades","3"
"Florida","Bonifay","Washington","3"
"Florida","Matlacha","Lee","3"
"Florida","Pomona Park","Putnam","3"
"Florida","Barefoot Bay","Brevard","3"
"Florida","Zellwood","Orange","3"
"Florida","Howey-In-The-Hills","Lake","3"
"Florida","Babson Park","Polk","3"
"Florida","Alford","Jackson","3"
"Florida","Anthony","Marion","3"
"Florida","Pierson","Volusia","3"
"Florida","Princeton","Dade","2"
"Florida","Belleair Beach","Pinellas","2"
"Florida","Belleair Bluffs","Pinellas","2"
"Florida","Intercession City","Osceola","2"
"Florida","University Park","Manatee","2"
"Florida","Sopchoppy","Wakulla","2"
"Florida","Baker","Okaloosa","2"
"Florida","Brooker","Bradford","2"
"Florida","Fisher Island","Dade","2"
"Florida","Lauderdale By The Sea","Broward","2"
"Florida","Reddick","Marion","2"
"Florida","Cloud Lake","Palm Beach","2"
"Florida","Davenport","Osceola","2"
"Florida","Fountain","Bay","2"
"Florida","Palma Sola","Manatee","2"
"Florida","Morriston","Levy","2"
"Florida","Reunion","Osceola","2"
"Florida","Yankeetown","Levy","2"
"Florida","Lealman","Pinellas","2"
"Florida","Kathleen","Polk","2"
"Florida","Sebastian","Brevard","2"
"Florida","Islamorada","Monroe","2"
"Florida","Bay Pines","Pinellas","2"
"Florida","Heathrow","Seminole","2"
"Florida","Mangonia Park","Palm Beach","2"
"Florida","Village Of Palmetto Bay","Dade","2"
"Florida","Wahneta","Polk","2"
"Florida","Braden River","Manatee","2"
"Florida","Campbellton","Jackson","2"
"Florida","Astor","Lake","2"
"Florida","Fpo","Duval","2"
"Florida","Holt","Okaloosa","2"
"Florida","Longboat Key","Manatee","2"
"Florida","Goulds","Dade","2"
"Florida","Grand Island","Lake","2"
"Florida","Silver Springs","Marion","2"
"Florida","Naranja","Dade","2"
"Florida","Lawtey","Bradford","2"
"Florida","Centerville","Leon","2"
"Florida","Altoona","Lake","2"
"Florida","Lehigh","Lee","2"
"Florida","Longboat Key","Sarasota","2"
"Florida","Bradenton Beach","Manatee","2"
"Florida","Fern Park","Seminole","2"
"Florida","Hastings","St. Johns","2"
"Florida","Haverhill","Palm Beach","2"
"Florida","Saint James City","Lee","2"
"Florida","San Carlos Park","Lee","1"
"Florida","Steinhatchee","Dixie","1"
"Florida","Walnut Hill","Escambia","1"
"Florida","Treasure Island","Pinellas","1"
"Florida","Tallevast","Manatee","1"
"Florida","Destin","Walton","1"
"Florida","Bokeelia","Lee","1"
"Florida","Aloma","Orange","1"
"Florida","Alva","Escambia","1"
"Florida","Perth Amboy","Hillsborough","1"
"Florida","Mcdavid","Escambia","1"
"Florida","Alpharetta","Broward","1"
"Florida","Ft Pierce","St. Lucie","1"
"Florida","Gulf Breeze","Escambia","1"
"Florida","Dania Beach","Broward","1"
"Florida","Indian Lake Estates","Polk","1"
"Florida","Holmes Beach","Manatee","1"
"Florida","Hutchinson Island","St. Lucie","1"
"Florida","Key Colony Beach","Monroe","1"
"Florida","Pensacola Beach","Escambia","1"
"Florida","Pine Castle","Orange","1"
"Florida","Westville","Walton","1"
"Florida","Yalaha","Lake","1"
"Florida","Sugarloaf","Monroe","1"
"Florida","Miromar Lakes","Lee","1"
"Florida","South Palm Beach","Palm Beach","1"
"Florida","Santa Fe","Alachua","1"
"Florida","Perdido Key","Escambia","1"
"Florida","Pooler","Broward","1"
"Florida","Paisley","Lake","1"
"Florida","Okeechobee","Martin","1"
"Florida","Grant-Valkaria","Brevard","1"
"Florida","Hillsboro Beach","Broward","1"
"Florida","Indian Rock Beach","Pinellas","1"
"Florida","Fanning Springs","Gilchrist","1"
"Florida","Cypress Gardens","Polk","1"
"Florida","Baldwin","Duval","1"
"Florida","Balm","Hillsborough","1"
"Florida","Big Pine Key","Monroe","1"
"Florida","Virginia Gardens","Dade","1"
"Florida","Westchase","Hillsborough","1"
"Florida","West Delray Beach","Palm Beach","1"
"Florida","New Church","Palm Beach","1"
"Florida","Pasadena","Pinellas","1"
"Florida","Lorida","Highlands","1"
"Florida","Malabar","Brevard","1"
"Florida","Unknown Out Of Area","Palm Beach","1"
"Florida","Sun City","Hillsborough","1"
"Florida","Saint Leo","Pasco","1"
"Florida","Ocean Ridge","Palm Beach","1"
"Florida","Perrine","Dade","1"
"Florida","Point Washington","Walton","1"
"Florida","Port Saint John","Brevard","1"
"Florida","Harmony","Osceola","1"
"Florida","Lake Butler","Bradford","1"
"Florida","Crystal Beach","Pinellas","1"
"Florida","Goodland","Collier","1"
"Florida","Bayshore Gardens","Manatee","1"
"Florida","Azalea Park","Orange","1"
"Florida","Cudjoe Key","Monroe","1"
"Florida","Gibsonia","Polk","1"
"Florida","Eastpoint","Franklin","1"
"Florida","Edgewood","Orange","1"
"Florida","Okahumpka","Lake","1"
"Florida","Oakland","Orange","1"
"Florida","Saint Pete Beach","Pinellas","1"
"Florida","Ponce De Leon","Walton","1"
"Florida","Lamont","Jefferson","1"
"Florida","Tice","Lee","1"
"Florida","Tyndall Air Force Base","Bay","1"
"Florida","Wimauma","Manatee","1"
"Florida","Paxton","Walton","1"
"Florida","Pensacola Beach","Santa Rosa","1"
"Florida","Fruit Cove","St. Johns","1"
"Florida","Hampton","Bradford","1"
"Florida","Champions Gate","Polk","1"
"Florida","Long Boat Key","Manatee","1"
"Florida","Labelle","Glades","1"
"Florida","Lake City","Suwannee","1"
"Florida","Lake Hamilton","Polk","1"
"Florida","Switzerland","St. Johns","1"
"Florida","Tampa Palms","Hillsborough","1"
"Florida","Welaka","Putnam","1"
"Florida","Mayport","Duval","1"
"Florida","La Crosse","Alachua","1"
"Florida","Graceville","Holmes","1"
"Florida","North Venice","Sarasota","1"
"Florida","Oklawaha","Marion","1"
"Florida","Ponce Inlet","Volusia","1"
"Florida","Parker","Bay","1"
"Florida","Pembroke Park","Broward","1"
"Florida","Pine Hills","Orange","1"
"Florida","Fl","Broward","1"
"Florida","Fort Mccoy","Marion","1"
"Florida","Elkton","St. Johns","1"
"Florida","Estero","Collier","1"
"Florida","Clermont","Polk","1"
"Florida","Buckingham","Lee","1"
"Florida","Caryville","Washington","1"
"Florida","Bradley","Polk","1"
"Florida","Alafaya","Orange","1"
"Florida","Apalachicola","Franklin","1"
"Florida","Boca Grande","Lee","1"
"Florida","Siesta Key","Sarasota","1"
"Florida","The Villages","Marion","1"
"Florida","Tierra Verde","Pinellas","1"
"Florida","Valkaria","Brevard","1"
"Florida","West Bradenton","Manatee","1"
"Florida","West Villages","Sarasota","1"
"Florida","Laud-By-The-Sea","Broward","1"
"Florida","Jupiter","Duval","1"
"Florida","Indian Shores","Pinellas","1"
"Florida","Hawthorne","Putnam","1"
"Florida","Captiva","Lee","1"
"Florida","Palm Beach Shores","Palm Beach","1"
"Florida","North Redington Beach","Pinellas","1"
"Florida","Ochopee","Collier","1"
"Florida","Loxahatchee Groves","Palm Beach","1"
