"City","County","Cases"
"Mcalpin","Suwannee","6"
"Dundee","Polk","6"
"Lighthouse Point","Broward","6"
"Missing","Hardee","6"
"Celebration","Osceola","6"
"Trinity","Pasco","6"
"Spring Hill","Pasco","6"
"Bellview","Escambia","6"
"Lady Lake","Sumter","6"
"Miami Shores","Dade","6"
"South Pasadena","Pinellas","6"
"Southwest Ranches","Broward","6"
"Missing","Pinellas","6"
"Florahome","Putnam","5"
"Oak Hill","Volusia","5"
"Sorrento","Lake","5"
"Christmas","Orange","5"
"Polk City","Polk","5"
"Altha","Calhoun","5"
"Placida","Charlotte","5"
"Sumterville","Sumter","5"
"Tioga","Alachua","4"
"Venus","Highlands","4"
"Weeki Wachee","Hernando","4"
"Melrose","Putnam","4"
"Laurel Hill","Okaloosa","4"
"Lee","Madison","4"
"Greenville","Madison","4"
"Glen Saint Mary","Baker","4"
"Eglin Air Force Base","Okaloosa","4"
"Wewahitchka","Gulf","4"
"Raiford","Union","4"
"Wellborn","Suwannee","4"
"Micanopy","Alachua","4"
"Bay Harbor Islands","Dade","4"
"De Leon Springs","Volusia","4"
"Branford","Suwannee","4"
"Floral City","Citrus","4"
"Melbourne Beach","Brevard","4"
"Odessa","Pasco","4"
"Ona","Hardee","4"
"Waldo","Alachua","4"
"Montverde","Lake","4"
"Jay","Santa Rosa","4"
"Lake Helen","Volusia","4"
"White Springs","Hamilton","4"
"Madeira Beach","Pinellas","4"
"Golden Beach","Dade","4"
"Sweetwater","Dade","4"
"Missing","Santa Rosa","4"
"Youngstown","Bay","4"
"Carrollwood","Hillsborough","4"
"Bonifay","Washington","3"
"Matlacha","Lee","3"
"Palmdale","Glades","3"
"Singer Island","Palm Beach","3"
"Lutz","Pasco","3"
"Ocklawaha","Marion","3"
"Cape Canaveral","Brevard","3"
"Coleman","Sumter","3"
"Greensboro","Gadsden","3"
"Zellwood","Orange","3"
"Graceville","Jackson","3"
"Howey-In-The-Hills","Lake","3"
"Canal Point","Palm Beach","3"
"Babson Park","Polk","3"
"Alford","Jackson","3"
"Anthony","Marion","3"
"Missing","Okaloosa","3"
"Satsuma","Putnam","3"
"Missing","Volusia","3"
"Pomona Park","Putnam","3"
"Westville","Holmes","3"
"Missing","Holmes","3"
"San Antonio","Pasco","3"
"Hollister","Putnam","3"
"Geneva","Seminole","3"
"Century","Escambia","3"
"Archer","Alachua","3"
"Belleair","Pinellas","3"
"Callaway","Bay","3"
"Miramar Beach","Walton","3"
"Poinciana","Osceola","3"
"Sanderson","Baker","3"
"Southport","Bay","3"
"Nocatee","Desoto","3"
"Summerland Key","Monroe","3"
"Bascom","Jackson","3"
"Naranja","Dade","3"
"Missing","Unknown","3"
"Port Saint Joe","Gulf","3"
"Hosford","Liberty","3"
"Heathrow","Seminole","2"
"Bryceville","Nassau","2"
"Mangonia Park","Palm Beach","2"
"Village Of Palmetto Bay","Dade","2"
"Wahneta","Polk","2"
"Silver Springs","Marion","2"
"Missing","Pasco","2"
"Braden River","Manatee","2"
"Campbellton","Jackson","2"
"Fpo","Duval","2"
"Longboat Key","Manatee","2"
"Holt","Okaloosa","2"
"Goulds","Dade","2"
"Missing","Marion","2"
"Lawtey","Bradford","2"
"Indialantic","Brevard","2"
"Centerville","Leon","2"
"Altoona","Lake","2"
"Bradenton Beach","Manatee","2"
"Hastings","St. Johns","2"
"Haverhill","Palm Beach","2"
"Fort Denaud","Hendry","2"
"Fern Park","Seminole","2"
"Lehigh","Lee","2"
"Longboat Key","Sarasota","2"
"Saint James City","Lee","2"
"Reddick","Marion","2"
"Lauderdale By The Sea","Broward","2"
"Brooker","Bradford","2"
"Baker","Okaloosa","2"
"Barefoot Bay","Brevard","2"
"Fisher Island","Dade","2"
"Belleair Beach","Pinellas","2"
"Belleair Bluffs","Pinellas","2"
"Intercession City","Osceola","2"
"Sopchoppy","Wakulla","2"
"Umatilla","Lake","2"
"University Park","Manatee","2"
"Islamorada","Monroe","2"
"Bay Pines","Pinellas","2"
"Missing","St. Johns","2"
"Kathleen","Polk","2"
"Sebastian","Brevard","2"
"Reunion","Osceola","2"
"Waverly","Polk","2"
"Yankeetown","Levy","2"
"Palma Sola","Manatee","2"
"Missing","Walton","2"
"Missing","Duval","2"
"Fountain","Bay","2"
"Davenport","Osceola","2"
"Labelle","Glades","1"
"Fruit Cove","St. Johns","1"
"Hampton","Bradford","1"
"Champions Gate","Polk","1"
"Missing","Brevard","1"
"Missing","Charlotte","1"
"Missing","Clay","1"
"Long Boat Key","Manatee","1"
